biosample	classification	organ_slims	n_dnase_files	n_bio_reps	n_experiments	best_accession	best_file_size	best_experiment	best_date	encode_phase	pipeline_version	has_h3k27ac	has_rna_seq
HEK293T	cell line	kidney,epithelium	3	1	1	ENCFF283AWX	15115582966	ENCSR000EJR	2020-11-22	ENCODE4	dnase-alignment-step-v-1-0	False	False
HFF-Myc	cell line	connective tissue,penis	4	2	1	ENCFF611LBU	1754494378	ENCSR000ENR	2020-11-12	ENCODE4	dnase-alignment-step-v-1-0	False	False
HFFc6	cell line	penis,connective tissue	4	2	1	ENCFF260GYW	26321774054	ENCSR672EWY	2020-09-24	ENCODE4	dnase-alignment-step-v-1-0	False	True
HK-2	cell line	kidney,epithelium	3	1	1	ENCFF921UJC	5941363535	ENCSR634YVQ	2020-10-23	ENCODE4	dnase-alignment-step-v-1-0	False	False
HL-60	cell line	bodily fluid,blood	6	2	2	ENCFF311KST	2395595892	ENCSR000ENU	2020-11-12	ENCODE4	dnase-alignment-step-v-1-0	True	False
HPDE6-E6E7	cell line	epithelium,exocrine gland,pancreas	3	1	1	ENCFF376RHW	6573051486	ENCSR000EJX	2020-11-20	ENCODE4	dnase-alignment-step-v-1-0	False	False
HS-27A	cell line	bone element,epithelium,bone marrow	2	1	1	ENCFF299GDE	2287327397	ENCSR000EMF	2020-11-16	ENCODE4	dnase-alignment-step-v-1-0	False	False
HS-5	cell line	bone element,bone marrow,connective tissue	2	1	1	ENCFF615UMS	2730473893	ENCSR000EMG	2020-11-12	ENCODE4	dnase-alignment-step-v-1-0	False	False
HT-29	cell line	epithelium,colon,large intestine,intestine	8	4	1	ENCFF936FKI	15385620984	ENCSR814KRX	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	True
HT1080	cell line	connective tissue,epithelium	6	2	1	ENCFF033IBX	43542785860	ENCSR000FDI	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	True
HTR-8/SVneo	cell line	placenta,embryo,extraembryonic component	3	1	1	ENCFF740ABP	5917206713	ENCSR000EKC	2020-11-20	ENCODE4	dnase-alignment-step-v-1-0	False	False
HeLa-S3	cell line	epithelium,uterus	15	2	4	ENCFF187PXI	3024968786	ENCSR000EJT	2020-11-20	ENCODE4	dnase-alignment-step-v-1-0	True	True
HepG2	cell line	endocrine gland,exocrine gland,liver,epithelium	8	2	2	ENCFF878RGP	2820951988	ENCSR000EJV	2020-11-20	ENCODE4	dnase-alignment-step-v-1-0	True	True
HuH-7	cell line	endocrine gland,exocrine gland,liver,epithelium	3	1	1	ENCFF070RWR	6641113365	ENCSR000EKD	2020-11-20	ENCODE4	dnase-alignment-step-v-1-0	False	False
HuH-7.5	cell line	endocrine gland,exocrine gland,liver,epithelium	3	1	1	ENCFF932RXN	6697763960	ENCSR000EKE	2020-11-20	ENCODE4	dnase-alignment-step-v-1-0	False	False
IMR-90	cell line	connective tissue,lung	8	1	2	ENCFF361OWP	17605668309	ENCSR000EKG	2020-11-22	ENCODE4	dnase-alignment-step-v-1-0	True	True
Ishikawa	cell line	uterus	12	1	4	ENCFF025PVR	14221856919	ENCSR000EIP	2020-11-22	ENCODE4	dnase-alignment-step-v-1-0	False	True
Jurkat, Clone E6-1	cell line	bodily fluid,blood	4	2	1	ENCFF443NXJ	2387124811	ENCSR000EOS	2020-11-12	ENCODE4	dnase-alignment-step-v-1-0	False	True
K562	cell line	bodily fluid,blood	27	2	7	ENCFF987IUK	22618360899	ENCSR000EKS	2020-11-22	ENCODE4	dnase-alignment-step-v-1-0	True	True
KBM-7	cell line	bone element,bone marrow	6	2	1	ENCFF747BBS	6821968829	ENCSR426IEA	2020-09-24	ENCODE4	dnase-alignment-step-v-1-0	False	False
Karpas-422	cell line	bodily fluid,blood,lymph node	4	2	1	ENCFF810JOU	15984341297	ENCSR019JDO	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	True	True
L1-S8	cell line	bone element,bone marrow	4	2	1	ENCFF076DNT	18900937830	ENCSR314EZY	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	False
L1-S8R	cell line	bone marrow,bone element	4	2	1	ENCFF861XDW	23305697422	ENCSR746ZPP	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	False
LHCN-M2	cell line	musculature of body	5	2	1	ENCFF541EQR	3617397834	ENCSR000EPE	2020-11-18	ENCODE4	dnase-alignment-step-v-1-0	False	True
LNCaP clone FGC	cell line	prostate gland,epithelium	11	2	3	ENCFF388UWK	9737289372	ENCSR000EKT	2020-11-20	ENCODE4	dnase-alignment-step-v-1-0	False	False
LoVo	cell line	epithelium,colon,intestine,large intestine	4	2	1	ENCFF124QQQ	15019209802	ENCSR503BEM	2020-10-23	ENCODE4	dnase-alignment-step-v-1-0	False	False
M059J	cell line	brain	5	2	1	ENCFF108IPV	3504773668	ENCSR000EPG	2020-11-18	ENCODE4	dnase-alignment-step-v-1-0	False	True
MCF 10A	cell line	epithelium,exocrine gland,mammary gland	9	1	3	ENCFF416UGH	19747266344	ENCSR789VGQ	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	True
MCF-7	cell line	exocrine gland,epithelium,mammary gland	25	2	7	ENCFF925RMV	18588415429	ENCSR000EKX	2020-11-22	ENCODE4	dnase-alignment-step-v-1-0	True	True
MG63	cell line	bone element	8	2	2	ENCFF438MPJ	4917276207	ENCSR083STA	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	True
MM.1S	cell line	blood,bodily fluid	2	1	1	ENCFF698CJU	26830655242	ENCSR458LIB	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	True	False
NAMALWA	cell line	bodily fluid,blood	12	2	2	ENCFF824ZLB	8670788264	ENCSR301OGM	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	False
NB4	cell line	bone marrow,bone element	4	2	1	ENCFF015WQK	2447488650	ENCSR000EPL	2021-02-08	ENCODE4	dnase-alignment-step-v-1-0	False	False
NCI-H226	cell line	lung	4	2	1	ENCFF739ISV	15946394444	ENCSR265TEK	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	False
NCI-H460	cell line	lung,epithelium	5	2	1	ENCFF583DNU	3464007504	ENCSR000FJH	2020-10-23	ENCODE4	dnase-alignment-step-v-1-0	False	True
NCI-H929	cell line	bone element,bone marrow	2	2	1	ENCFF042UCN	15591426268	ENCSR090SMP	2020-09-22	ENCODE4	dnase-alignment-step-v-1-0	True	False
NT2/D1	cell line	gonad,testis,epithelium	4	2	1	ENCFF399OQU	1638972123	ENCSR000EPS	2020-11-12	ENCODE4	dnase-alignment-step-v-1-0	False	False
OCI-LY7	cell line	bodily fluid,blood	4	2	1	ENCFF757XZK	14048837301	ENCSR489NAM	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	True	True
PC-3	cell line	prostate gland	4	2	1	ENCFF699MXB	26858249133	ENCSR052AWE	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	True	True
PC-9	cell line	lung	6	2	2	ENCFF121YFE	7715363847	ENCSR781TYE	2022-08-05	ENCODE4	dnase-alignment-step-v-1-0	True	True
Panc1	cell line	epithelium,pancreas	4	2	1	ENCFF325RLI	2038247764	ENCSR000EPT	2020-11-12	ENCODE4	dnase-alignment-step-v-1-0	True	True
Peyer's patch	tissue	intestine,lymphoid tissue	8	1	4	ENCFF480COA	17013607735	ENCSR689DSM	2020-10-06	ENCODE4	dnase-alignment-step-v-1-0	True	True
RCC	cell line	kidney	6	2	1	ENCFF584VOD	24080009785	ENCSR337IRF	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	False
RCC 7860	cell line	kidney,epithelium	4	2	1	ENCFF314QCK	13517660545	ENCSR037PGI	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	False
RKO	cell line	epithelium,intestine,colon,large intestine	4	2	1	ENCFF306ENI	19022183545	ENCSR429RHR	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	False
RPMI7951	cell line	epithelium,skin of body	5	2	1	ENCFF374UVG	2958996092	ENCSR000EPV	2020-11-18	ENCODE4	dnase-alignment-step-v-1-0	False	True
RPMI8226	cell line	bodily fluid,blood	5	2	1	ENCFF245DSZ	20653359992	ENCSR594NOE	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	False
RWPE1	cell line	prostate gland,epithelium	3	1	1	ENCFF407NBI	8050817503	ENCSR000ELP	2020-11-20	ENCODE4	dnase-alignment-step-v-1-0	True	False
RWPE2	cell line	epithelium,prostate gland	2	2	1	ENCFF346MAI	12473979048	ENCSR306BHE	2020-09-26	ENCODE4	dnase-alignment-step-v-1-0	True	False
Right ventricle myocardium inferior	tissue	heart	1	1	1	ENCFF880IHN	11394119564	ENCSR085MZL	2021-02-08	ENCODE4	dnase-alignment-step-v-1-0	False	True
Right ventricle myocardium superior	tissue	heart	1	1	1	ENCFF712ABC	14339502459	ENCSR895GSY	2020-09-28	ENCODE4	dnase-alignment-step-v-1-0	False	True
SJCRH30	cell line	connective tissue,musculature of body	7	2	2	ENCFF610BTY	29571616053	ENCSR000FFJ	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	True	True
SJSA1	cell line	bone element	8	2	2	ENCFF468DCR	19890642609	ENCSR620WAR	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	True	True
SK-MEL-5	cell line	epithelium,skin of body	5	2	1	ENCFF679LFL	3402290000	ENCSR000FEK	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	True
SK-N-DZ	cell line	brain	11	2	2	ENCFF137RKG	2406914545	ENCSR000FJL	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	True
SK-N-MC	cell line	epithelium,brain	4	2	1	ENCFF754VGI	2053449945	ENCSR000EPY	2020-11-12	ENCODE4	dnase-alignment-step-v-1-0	True	False
SK-N-SH	cell line	brain	7	2	2	ENCFF264HFT	15699520965	ENCSR000ELQ	2020-11-22	ENCODE4	dnase-alignment-step-v-1-0	True	True
SW480	cell line	colon,epithelium,intestine,large intestine	4	2	1	ENCFF449ERR	16246715857	ENCSR217SET	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	False
T follicular helper cell	primary cell		1	1	1	ENCFF219RTG	2357939853	ENCSR486KKY	2020-09-22	ENCODE4	dnase-alignment-step-v-1-0	False	False
T-cell	primary cell	bodily fluid,blood	67	1	62	ENCFF192LKJ	12451247247	ENCSR101RCL	2023-01-19	ENCODE4	dnase-alignment-step-v-1-0	True	True
T-helper 1 cell	primary cell	bodily fluid,blood	20	2	9	ENCFF112GVG	6781210365	ENCSR000EIG	2020-11-20	ENCODE4	dnase-alignment-step-v-1-0	False	True
T-helper 17 cell	primary cell	bodily fluid,blood	9	2	7	ENCFF679ZQU	11349636065	ENCSR731KDL	2021-09-01	ENCODE4	dnase-alignment-step-v-1-0	False	True
T-helper 2 cell	primary cell	bodily fluid,blood	15	2	9	ENCFF462YCH	9126612869	ENCSR655LUX	2022-05-23	ENCODE4	dnase-alignment-step-v-1-0	False	True
T-helper 22 cell	primary cell	bodily fluid,blood	1	1	1	ENCFF563FDF	2801266791	ENCSR944GPH	2020-09-25	ENCODE4	dnase-alignment-step-v-1-0	False	False
T-helper 9 cell	primary cell	bodily fluid,blood	1	1	1	ENCFF801GLI	3702194740	ENCSR542GKI	2020-09-25	ENCODE4	dnase-alignment-step-v-1-0	False	False
T47D	cell line	exocrine gland,epithelium,mammary gland	11	2	3	ENCFF661WZF	16848435025	ENCSR000ELS	2020-11-22	ENCODE4	dnase-alignment-step-v-1-0	False	True
WERI-Rb-1	cell line	eye	6	2	2	ENCFF643TRD	3369559223	ENCSR000EQL	2020-11-12	ENCODE4	dnase-alignment-step-v-1-0	True	False
WI38	cell line	connective tissue,lung	8	2	2	ENCFF760MER	1902325414	ENCSR000EQM	2020-11-12	ENCODE4	dnase-alignment-step-v-1-0	False	False
WTC11	cell line	connective tissue,skin of body	2	2	1	ENCFF289QMY	11409603568	ENCSR785ZUI	2021-04-14	ENCODE4	dnase-alignment-step-v-1-0	False	True
activated B cell	primary cell	blood,bodily fluid	1	1	1	ENCFF771GWV	7741991631	ENCSR109DTU	2021-11-30	ENCODE4	dnase-alignment-step-v-1-0	False	True
activated CD4-positive, CD25-positive, alpha-beta regulatory T cell	primary cell	bodily fluid,blood	2	1	2	ENCFF892DGS	10184374948	ENCSR242CLA	2021-09-01	ENCODE4	dnase-alignment-step-v-1-0	False	False
activated CD4-positive, alpha-beta T cell	primary cell	bodily fluid,blood	29	1	29	ENCFF273UXC	52508301366	ENCSR365CUB	2021-11-18	ENCODE4	dnase-alignment-step-v-1-0	False	True
activated CD4-positive, alpha-beta memory T cell	primary cell	bodily fluid,blood	2	1	2	ENCFF948QBU	15074527552	ENCSR720TCN	2020-09-26	ENCODE4	dnase-alignment-step-v-1-0	False	True
activated CD8-positive, alpha-beta T cell	primary cell		2	1	2	ENCFF563CJV	12440592918	ENCSR294YEJ	2020-09-28	ENCODE4	dnase-alignment-step-v-1-0	False	True
activated CD8-positive, alpha-beta memory T cell	primary cell	blood,bodily fluid	15	1	15	ENCFF274OZI	2766371982	ENCSR134CIY	2020-09-28	ENCODE4	dnase-alignment-step-v-1-0	False	True
activated T-cell	primary cell	bodily fluid,blood	15	1	15	ENCFF074TSD	9449923820	ENCSR300NZA	2022-11-22	ENCODE4	dnase-alignment-step-v-1-0	False	True
activated T-helper 1 cell	primary cell	blood,bodily fluid	4	1	4	ENCFF253QIM	7279523556	ENCSR636DIR	2021-10-18	ENCODE4	dnase-alignment-step-v-1-0	False	True
activated T-helper 2 cell	primary cell	blood,bodily fluid	1	1	1	ENCFF336VNQ	11404567328	ENCSR780ABS	2021-11-04	ENCODE4	dnase-alignment-step-v-1-0	False	True
activated T-helper 9 cell	primary cell	bodily fluid,blood	1	1	1	ENCFF854EYP	3219659780	ENCSR433WOV	2020-09-25	ENCODE4	dnase-alignment-step-v-1-0	False	False
activated effector memory CD4-positive, alpha-beta T cell	primary cell	bodily fluid,blood	3	1	3	ENCFF247KCG	22852903424	ENCSR732IFV	2020-10-04	ENCODE4	dnase-alignment-step-v-1-0	False	False
activated gamma-delta T cell	primary cell	bodily fluid,blood	2	1	2	ENCFF192ISM	10453296243	ENCSR676GAW	2020-10-04	ENCODE4	dnase-alignment-step-v-1-0	False	False
activated naive CD4-positive, alpha-beta T cell	primary cell	blood,bodily fluid	7	1	7	ENCFF887RET	11531210817	ENCSR515PDV	2021-11-30	ENCODE4	dnase-alignment-step-v-1-0	False	True
activated naive CD8-positive, alpha-beta T cell	primary cell	bodily fluid,blood	4	1	4	ENCFF013LEW	11779698482	ENCSR009MDC	2021-11-04	ENCODE4	dnase-alignment-step-v-1-0	False	True
adipocyte	in vitro differentiated cells	connective tissue	4	2	1	ENCFF306OLW	3179529187	ENCSR405TXU	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	False
adrenal gland	tissue	adrenal gland,endocrine gland	27	1	15	ENCFF845RAP	3147382637	ENCSR060BFU	2020-11-11	ENCODE4	dnase-alignment-step-v-1-0	True	True
amniotic epithelial cell	primary cell	placenta,epithelium,extraembryonic component	4	2	1	ENCFF635YGG	2439981425	ENCSR000END	2020-11-18	ENCODE4	dnase-alignment-step-v-1-0	False	False
amniotic stem cell	primary cell	connective tissue,extraembryonic component	2	1	1	ENCFF194QJZ	20878929570	ENCSR207TUX	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	False
aorta	tissue	vasculature,blood vessel,arterial blood vessel	2	1	2	ENCFF397WGK	18222442635	ENCSR595DQM	2020-09-25	ENCODE4	dnase-alignment-step-v-1-0	True	True
ascending aorta	tissue	arterial blood vessel,vasculature,blood vessel	4	1	2	ENCFF454LLX	17425836111	ENCSR968TPO	2020-10-06	ENCODE4	dnase-alignment-step-v-1-0	True	True
astrocyte	in vitro differentiated cells	spinal cord,brain	5	2	2	ENCFF351XMO	12292770652	ENCSR146KFX	2021-02-25	ENCODE4	dnase-alignment-step-v-1-0	True	True
astrocyte of the cerebellum	primary cell	brain	4	2	1	ENCFF490FNY	2108431013	ENCSR000ENC	2020-11-12	ENCODE4	dnase-alignment-step-v-1-0	False	False
